Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_1340600,423,11
PF3D7_1340700,15,1
PF3D7_1340800,35,3
PF3D7_1340900,123,7
PF3D7_1341100,3,1
PF3D7_1341200,24,1
PF3D7_1341300,25,1
PF3D7_1341500,291,17
PF3D7_1341600,363,10
PF3D7_1341700,37,3
PF3D7_1341800,264,12
PF3D7_1341900,26,2
PF3D7_1342000,104,9
PF3D7_1342100,224,8
PF3D7_1342200,919,31
PF3D7_1342300,84,4
PF3D7_1342400,78,3
PF3D7_1342500,247,33
PF3D7_1342600,94,8
PF3D7_1342700,3,1
PF3D7_1342800,66,1
PF3D7_1342900,838,8
PF3D7_1343000,64,4
PF3D7_1343100,120,10
PF3D7_1343200,218,9
PF3D7_1343300,412,9
PF3D7_1343400,587,13
PF3D7_1343500,114,5
PF3D7_1343600,345,11
PF3D7_1343700,155,21
PF3D7_1343800,3093,30
PF3D7_1343900,325,7
PF3D7_1344000,553,21
PF3D7_1344100,374,12
PF3D7_1344200,382,9
PF3D7_1344300,1094,26
PF3D7_1344400,408,12
PF3D7_1344500,89,2
PF3D7_1344600,148,4
PF3D7_1344700,1187,27
PF3D7_1344800,151,7
PF3D7_1344900,1118,17
PF3D7_1345000,195,8
PF3D7_1345100,33,4
PF3D7_1345200,288,7
PF3D7_1345300,42,1
PF3D7_1345400,1137,19
PF3D7_1345500,125,2
PF3D7_1345600,262,12
PF3D7_1345700,134,7
PF3D7_1345800,1072,35
PF3D7_1345900,62,2
PF3D7_1346000,447,11
PF3D7_1346100,15,2
PF3D7_1346200,35,3
PF3D7_1346300,45,4
PF3D7_1346400,3002,34
PF3D7_1346500,425,12
PF3D7_1346600,97,3
PF3D7_1346700,91,11
PF3D7_1346800,244,44
PF3D7_1346900,79,4
PF3D7_1347000,92,2
PF3D7_1347100,145,7
PF3D7_1347200,89,14
PF3D7_1347300,87,5
PF3D7_1347400,52,1
PF3D7_1347500,40,2
PF3D7_1347600,105,1
PF3D7_1347700,171,15
PF3D7_1347800,93,5
PF3D7_1347900,1134,32
PF3D7_1348000,981,19
PF3D7_1348100,61,5
PF3D7_1348200,66,3
PF3D7_1348300,599,16
PF3D7_1348400,49,0
PF3D7_1348500,41,1
PF3D7_1348600,86,5
PF3D7_1348700,195,5
PF3D7_1348800,784,23
PF3D7_1348900,60,3
PF3D7_1349000,138,6
PF3D7_1349100,27,7
PF3D7_1349200,361,7
PF3D7_1349300,702,19
PF3D7_1349400,144,6
PF3D7_1349500,1668,17
PF3D7_1349600,95,4
PF3D7_1349700,56,2
PF3D7_1349800,150,3
PF3D7_1349900,80,3
PF3D7_1350000,139,10
PF3D7_1350100,117,3
PF3D7_1350200,11,1
PF3D7_1350300,188,4
PF3D7_1350400,259,14
PF3D7_1350500,891,26
PF3D7_1350600,136,20
PF3D7_1350700,391,24
PF3D7_1350800,114,7
PF3D7_1350900,154,4
PF3D7_1351000,1373,28
PF3D7_1351100,52,2
PF3D7_1351200,922,27
PF3D7_1351300,294,15
PF3D7_1351400,32,1
PF3D7_1351600,91,1
PF3D7_1351700,1012,27
PF3D7_1351800,170,11
PF3D7_1351900,192,4
PF3D7_1352000,1030,22
PF3D7_1352100,521,11
PF3D7_1352200,205,13
PF3D7_1352300,384,16
PF3D7_1352400,795,27
PF3D7_1352500,31,2
PF3D7_1352600,157,4
PF3D7_1352700,1898,45
PF3D7_1352800,271,11
PF3D7_1352900,1675,89
PF3D7_1353100,149,21
PF3D7_1353200,61,5
PF3D7_1353300,1641,30
PF3D7_1353400,670,20
PF3D7_1353500,87,5
PF3D7_1353600,8,1
PF3D7_1353700,43,2
PF3D7_1353800,34,1
PF3D7_1353900,24,2
PF3D7_1354000,439,15
PF3D7_1354100,219,4
PF3D7_1354200,451,13
PF3D7_1354300,453,7
PF3D7_1354400,12,1
PF3D7_1354500,78,3
PF3D7_1354600,123,4
PF3D7_1354700,225,15
PF3D7_1354800,324,7
PF3D7_1354900,416,24
PF3D7_1355100,70,2
PF3D7_1355200,518,18
PF3D7_1355300,46,2
PF3D7_1355500,255,11
PF3D7_1355600,403,25
PF3D7_1355700,698,11
PF3D7_1355800,27,1
PF3D7_1355900,267,10
PF3D7_1356000,1197,24
PF3D7_1356100,587,22
PF3D7_1356200,23,3
PF3D7_1356300,14,1
PF3D7_1356400,548,13
PF3D7_1356500,68,8
PF3D7_1356600,51,1
PF3D7_1356700,102,3
PF3D7_1356800,2833,28
PF3D7_1356900,16,1
PF3D7_1357000,3,2
PF3D7_1357100,4,2
PF3D7_1357200,267,9
PF3D7_1357300,39,3
PF3D7_1357400,739,24
PF3D7_1357500,214,13
PF3D7_1357600,28,3
PF3D7_1357700,802,27
PF3D7_1357800,56,2
PF3D7_1357900,114,6
PF3D7_1358000,1384,37
PF3D7_1358100,400,15
PF3D7_1358200,1641,31
PF3D7_1358300,102,5
PF3D7_1358400,26,3
PF3D7_1358500,255,14
PF3D7_1358600,703,25
PF3D7_1358700,18,2
PF3D7_1358800,5,1
PF3D7_1358900,75,3
PF3D7_1359000,2120,34
PF3D7_1359100,393,7
PF3D7_1359200,70,3
PF3D7_1359300,504,9
PF3D7_1359400,99,5
PF3D7_1359500,160,8
PF3D7_1359600,1425,27
PF3D7_1359700,2338,37
PF3D7_1359800,59,4
PF3D7_1359900,1248,22
PF3D7_1360000,30,2
PF3D7_1360100,42,2
PF3D7_1360200,57,3
PF3D7_1360300,264,10
PF3D7_1360400,208,6
PF3D7_1360500,1328,28
PF3D7_1360700,515,13
PF3D7_1360800,373,11
PF3D7_1360900,30,1
PF3D7_1361000,416,15
PF3D7_1361100,205,9
PF3D7_1361200,1432,26
PF3D7_1361300,130,6
PF3D7_1361400,20,1
PF3D7_1361500,84,3
PF3D7_1361600,56,4
PF3D7_1361700,85,4
PF3D7_1361800,523,32
PF3D7_1361900,12,1
PF3D7_1362000,73,4
PF3D7_1362100,67,9
PF3D7_1362200,61,4
PF3D7_1362300,61,1
PF3D7_1362400,1200,21
PF3D7_1362500,462,14
PF3D7_1362600,88,5
PF3D7_1362700,52,0
PF3D7_1362800,1307,36
PF3D7_1362900,253,6
PF3D7_1363000,627,13
PF3D7_1363100,554,15
PF3D7_1363200,171,3
PF3D7_1363300,129,6
PF3D7_1363400,570,16
PF3D7_1363500,861,24
PF3D7_1363600,148,4
PF3D7_1363700,403,11
PF3D7_1363800,258,11
PF3D7_1364000,235,11
PF3D7_1364100,824,46
PF3D7_1364200,1689,38
PF3D7_1364300,601,14
PF3D7_1364400,1254,19
PF3D7_1364500,244,7
PF3D7_1364600,370,22
PF3D7_1364800,15,1
PF3D7_1364900,91,4
PF3D7_1365000,259,3
PF3D7_1365100,22,2
PF3D7_1365200,9,1
PF3D7_1365300,505,20
PF3D7_1365400,274,14
PF3D7_1365500,105,5
PF3D7_1365600,356,16
PF3D7_1365700,74,1
PF3D7_1365800,56,3
PF3D7_1365900,3,1
PF3D7_1366000,57,4
PF3D7_1366100,20,3
PF3D7_1366200,44,2
PF3D7_1366300,2211,22
PF3D7_1366400,1076,39
PF3D7_1366500,36,2
PF3D7_1366600,193,7
PF3D7_1366700,392,14
PF3D7_1366800,381,47
PF3D7_1366900,415,19
PF3D7_1367000,18,1
PF3D7_1367100,176,3
PF3D7_1367200,227,4
PF3D7_1367300,128,7
PF3D7_1367400,720,23
PF3D7_1367500,100,11
PF3D7_1367600,75,3
PF3D7_1367700,698,12
PF3D7_1367800,461,10
PF3D7_1367900,499,19
PF3D7_1368000,33,1
PF3D7_1368100,12,2
PF3D7_1368200,55,4
PF3D7_1368300,105,4
PF3D7_1368400,77,2
PF3D7_1368500,401,8
PF3D7_1368600,13,1
PF3D7_1368700,335,16
PF3D7_1368800,1972,53
PF3D7_1368900,212,8
PF3D7_1369000,365,17
PF3D7_1369100,457,11
PF3D7_1369200,1995,36
PF3D7_1369300,328,10
PF3D7_1369400,3032,53
PF3D7_1369500,327,12
PF3D7_1369600,358,13
PF3D7_1369700,40,2
PF3D7_1369900,2,1
PF3D7_1370100,3,1
PF3D7_1370300,51,12
PF3D7_1401100,396,32
PF3D7_1401200,139,18
PF3D7_1401300,140,15
PF3D7_1401400,61,9
PF3D7_1401500,20,5
PF3D7_1401600,291,15
PF3D7_1401700,271,42
PF3D7_1401800,69,4
PF3D7_1401900,179,7
PF3D7_1402000,366,10
PF3D7_1402100,1360,47
PF3D7_1402200,65,3
PF3D7_1402300,187,9
PF3D7_1402400,297,9
PF3D7_1402500,46,2
PF3D7_1402700,267,12
PF3D7_1402800,1270,30
PF3D7_1402900,491,12
PF3D7_1403000,305,13
PF3D7_1403100,1540,29
PF3D7_1403200,179,16
PF3D7_1403300,667,14
PF3D7_1403400,425,20
PF3D7_1403500,119,3
PF3D7_1403600,67,3
PF3D7_1403700,107,12
PF3D7_1403800,1183,30
PF3D7_1403900,49,4
PF3D7_1404000,41,1
PF3D7_1404100,8,2
PF3D7_1404200,47,2
PF3D7_1404300,65,12
PF3D7_1404400,67,3
PF3D7_1404500,185,5
PF3D7_1404600,259,8
PF3D7_1404700,227,34
PF3D7_1404800,941,23
PF3D7_1404900,73,3
PF3D7_1405000,366,14
PF3D7_1405100,419,17
PF3D7_1405200,74,5
PF3D7_1405300,640,19
PF3D7_1405400,721,18
PF3D7_1405500,320,11
PF3D7_1405600,21,1
PF3D7_1405700,410,12
PF3D7_1405800,707,16
PF3D7_1405900,556,18
PF3D7_1406000,29,1
PF3D7_1406100,1163,26
PF3D7_1406200,1177,23
PF3D7_1406300,197,9
PF3D7_1406400,178,4
PF3D7_1406500,494,9
PF3D7_1406600,704,25
PF3D7_1406700,39,4
PF3D7_1406800,17,1
PF3D7_1406900,99,4
PF3D7_1407000,286,9
PF3D7_1407100,64,4
PF3D7_1407200,88,5
PF3D7_1407300,295,8
PF3D7_1407400,126,4
PF3D7_1407500,56,4
PF3D7_1407600,1781,40
PF3D7_1407700,144,13
PF3D7_1407800,142,10
PF3D7_1407900,203,9
PF3D7_1408000,170,13
PF3D7_1408100,157,3
PF3D7_1408200,1184,22
PF3D7_1408300,131,6
PF3D7_1408400,303,9
PF3D7_1408500,122,7
PF3D7_1408600,29,3
PF3D7_1408700,4142,33
PF3D7_1408800,118,6
PF3D7_1408900,56,4
PF3D7_1409000,330,12
PF3D7_1409100,659,22
PF3D7_1409200,127,7
PF3D7_1409300,91,6
PF3D7_1409400,16,2
PF3D7_1409500,1449,38
PF3D7_1409600,690,43
PF3D7_1409700,587,19
PF3D7_1409800,128,5
PF3D7_1409900,239,12
PF3D7_1410000,108,3
PF3D7_1410100,103,5
PF3D7_1410200,240,12
PF3D7_1410300,760,16
PF3D7_1410400,744,68
PF3D7_1410500,58,1
PF3D7_1410600,20,2
PF3D7_1410700,83,5
PF3D7_1410800,24,1
PF3D7_1410900,361,17
PF3D7_1411000,946,26
PF3D7_1411100,39,2
PF3D7_1411200,212,7
PF3D7_1411300,391,13
PF3D7_1411400,793,21
PF3D7_1411500,664,16
PF3D7_1411600,318,9
PF3D7_1411700,519,15
PF3D7_1411800,224,10
PF3D7_1411900,105,7
PF3D7_1412000,83,6
PF3D7_1412100,377,7
PF3D7_1412200,503,8
PF3D7_1412300,4,1
PF3D7_1412400,681,14
PF3D7_1412500,9,2
PF3D7_1412600,168,4
PF3D7_1412700,1437,33
PF3D7_1412800,49,1
PF3D7_1412900,70,3
PF3D7_1413000,263,10
PF3D7_1413100,451,17
PF3D7_1413200,107,3
PF3D7_1413300,28,1
PF3D7_1413400,320,11
PF3D7_1413500,98,3
PF3D7_1413600,354,16
PF3D7_1413700,921,28
PF3D7_1413800,114,4
PF3D7_1413900,36,2
PF3D7_1414000,64,2
PF3D7_1414100,505,23
PF3D7_1414200,422,32
PF3D7_1414300,11,2
PF3D7_1414400,2,1
PF3D7_1414500,980,18
PF3D7_1414600,201,11
PF3D7_1414700,1040,30
PF3D7_1414800,75,1
PF3D7_1414900,773,16
PF3D7_1415000,69,4
PF3D7_1415100,228,13
PF3D7_1415200,24,1
PF3D7_1415300,46,3
PF3D7_1415400,1038,25
PF3D7_1415500,539,19
PF3D7_1415600,1153,20
PF3D7_1415700,67,2
PF3D7_1415800,86,2
PF3D7_1415900,27,3
PF3D7_1416000,86,5
PF3D7_1416100,356,13
PF3D7_1416200,664,8
PF3D7_1416300,190,6
PF3D7_1416400,254,11
PF3D7_1416500,59,3
PF3D7_1416600,2691,40
PF3D7_1416700,56,6
PF3D7_1416800,296,10
PF3D7_1416900,58,4
PF3D7_1417000,232,11
PF3D7_1417100,178,4
PF3D7_1417200,1929,21
PF3D7_1417300,734,20
PF3D7_1417500,93,5
PF3D7_1417600,1991,26
PF3D7_1417700,66,3
PF3D7_1417800,54,8
PF3D7_1417900,56,3
PF3D7_1418000,37,1
PF3D7_1418100,2239,49
PF3D7_1418200,94,2
PF3D7_1418300,44,3
PF3D7_1418400,1,1
PF3D7_1418800,26,2
PF3D7_1418900,308,12
PF3D7_1419000,584,26
PF3D7_1419100,579,19
PF3D7_1419200,246,15
PF3D7_1419300,45,9
PF3D7_1419400,1129,21
PF3D7_1419500,86,3
PF3D7_1419600,189,9
PF3D7_1419700,180,14
PF3D7_1419800,120,10
PF3D7_1419900,127,4
PF3D7_1420000,231,17
PF3D7_1420100,1211,34
PF3D7_1420200,586,20
PF3D7_1420300,125,6
PF3D7_1420400,332,8
PF3D7_1420500,418,15
PF3D7_1420600,332,20
PF3D7_1420700,434,20
PF3D7_1420800,78,1
PF3D7_1420900,56,3
PF3D7_1421000,70,4
PF3D7_1421100,1322,38
PF3D7_1421200,16,1
PF3D7_1421300,851,24
PF3D7_1421400,57,3
PF3D7_1421500,36,1
PF3D7_1421600,303,11
PF3D7_1421700,15,2
PF3D7_1421800,178,10
PF3D7_1421900,61,4
PF3D7_1422000,9,2
PF3D7_1422100,94,5
PF3D7_1422200,62,2
PF3D7_1422300,124,5
PF3D7_1422400,1926,32
PF3D7_1422500,101,3
PF3D7_1422600,363,29
PF3D7_1422700,1140,36
PF3D7_1422800,190,16
PF3D7_1422900,115,12
PF3D7_1423000,128,4
PF3D7_1423100,166,4
PF3D7_1423200,188,18
PF3D7_1423300,128,4
PF3D7_1423400,812,26
PF3D7_1423500,361,10
PF3D7_1423600,15,2
PF3D7_1423700,862,31
PF3D7_1423800,215,4
PF3D7_1424100,36,1
PF3D7_1424300,4,1
PF3D7_1424400,40,1
PF3D7_1424700,1,1
PF3D7_1424900,2,1
PF3D7_1425200,102,6
PF3D7_1425300,105,4
PF3D7_1425400,887,37
PF3D7_1425500,55,4
PF3D7_1425600,5,0
PF3D7_1425700,103,7
PF3D7_1425800,489,17
PF3D7_1425900,72,2
PF3D7_1426000,9,1
PF3D7_1426100,11,1
PF3D7_1426200,21,2
PF3D7_1426300,95,3
PF3D7_1426400,46,2
PF3D7_1426500,40,2
PF3D7_1426600,1055,28
PF3D7_1426700,250,24
PF3D7_1426800,530,17
PF3D7_1426900,12,1
PF3D7_1427000,471,20
PF3D7_1427100,374,23
PF3D7_1427200,56,5
PF3D7_1427300,154,3
PF3D7_1427400,44,2
PF3D7_1427500,70,6
PF3D7_1427600,70,3
PF3D7_1427700,9,3
PF3D7_1427800,45,2
PF3D7_1427900,29,2
PF3D7_1428000,75,3
PF3D7_1428100,389,15
PF3D7_1428200,341,16
PF3D7_1428300,52,3
PF3D7_1428400,865,24
PF3D7_1428500,919,23
PF3D7_1428600,91,8
PF3D7_1428700,174,6
PF3D7_1428800,100,3
PF3D7_1428900,427,10
PF3D7_1429000,94,6
PF3D7_1429100,75,5
PF3D7_1429200,512,27
PF3D7_1429300,84,9
PF3D7_1429400,334,4
PF3D7_1429500,390,17
PF3D7_1429600,47,3
PF3D7_1429700,61,3
PF3D7_1429800,229,12
PF3D7_1429900,859,41
PF3D7_1430000,109,5
PF3D7_1430100,47,2
PF3D7_1430200,198,5
PF3D7_1430300,567,18
PF3D7_1430400,341,15
PF3D7_1430500,112,3
PF3D7_1430600,142,4
PF3D7_1430700,121,5
PF3D7_1430800,22,3
PF3D7_1430900,29,3
PF3D7_1431000,46,2
PF3D7_1431100,61,8
PF3D7_1431200,1597,49
PF3D7_1431300,690,33
PF3D7_1431400,509,28
PF3D7_1431500,245,14
PF3D7_1431600,73,2
PF3D7_1431700,29,1
PF3D7_1431800,439,14
PF3D7_1431900,323,11
PF3D7_1432000,143,14
PF3D7_1432100,62,4
PF3D7_1432200,928,22
PF3D7_1432300,1233,34
PF3D7_1432400,525,17
PF3D7_1432500,131,4
PF3D7_1432600,454,12
PF3D7_1432700,10,1
PF3D7_1432800,356,14
PF3D7_1432900,46,3
PF3D7_1433000,11,1
PF3D7_1433100,460,22
PF3D7_1433200,904,23
PF3D7_1433300,81,6
PF3D7_1433400,1878,17
PF3D7_1433500,247,13
PF3D7_1433600,33,2
PF3D7_1433700,1233,22
PF3D7_1433800,1134,22
PF3D7_1433900,1517,31
PF3D7_1434000,106,8
PF3D7_1434100,213,8
PF3D7_1434200,6,1
PF3D7_1434300,76,3
PF3D7_1434400,77,3
PF3D7_1434500,833,3
PF3D7_1434600,252,14
PF3D7_1434700,6,1
PF3D7_1434800,27,1
PF3D7_1434900,179,6
PF3D7_1435000,169,8
PF3D7_1435100,147,5
PF3D7_1435200,186,10
PF3D7_1435300,836,29
PF3D7_1435400,63,1
PF3D7_1435500,102,4
PF3D7_1435600,1078,21
PF3D7_1435700,294,8
PF3D7_1435800,198,6
PF3D7_1435900,99,7
PF3D7_1436000,135,6
PF3D7_1436100,892,30
PF3D7_1436200,1558,28
PF3D7_1436300,731,51
PF3D7_1436400,566,19
PF3D7_1436500,186,5
PF3D7_1436600,72,2
PF3D7_1436700,529,15
PF3D7_1436800,53,3
PF3D7_1436900,37,1
PF3D7_1437000,197,12
PF3D7_1437100,92,3
PF3D7_1437200,57,3
PF3D7_1437300,88,2
PF3D7_1437400,488,11
PF3D7_1437500,108,9
PF3D7_1437600,466,11
PF3D7_1437700,335,10
PF3D7_1437800,39,2
PF3D7_1437900,48,2
PF3D7_1438000,184,5
PF3D7_1438100,41,2
PF3D7_1438200,2,1
PF3D7_1438400,1660,24
PF3D7_1438500,304,8
PF3D7_1438600,58,6
PF3D7_1438700,49,2
PF3D7_1438800,166,5
PF3D7_1438900,21,1
PF3D7_1439000,86,4
PF3D7_1439100,782,22
PF3D7_1439200,631,16
PF3D7_1439300,1096,25
PF3D7_1439400,52,6
PF3D7_1439500,836,28
PF3D7_1439600,31,1
PF3D7_1439700,103,4
PF3D7_1439800,35,1
PF3D7_1439900,72,3
PF3D7_1440000,1662,27
PF3D7_1440100,526,16
PF3D7_1440200,741,21
PF3D7_1440300,168,6
PF3D7_1440400,783,20
PF3D7_1440500,131,7
PF3D7_1440600,132,10
PF3D7_1440700,321,9
PF3D7_1440800,264,21
PF3D7_1440900,103,10
PF3D7_1441000,283,11
PF3D7_1441100,88,6
PF3D7_1441200,10,1
PF3D7_1441300,2022,47
PF3D7_1441400,81,4
PF3D7_1441500,144,8
PF3D7_1441600,238,12
PF3D7_1441700,167,7
PF3D7_1441800,72,4
PF3D7_1441900,12,1
PF3D7_1442000,25,1
PF3D7_1442100,27,1
PF3D7_1442200,528,20
PF3D7_1442300,164,8
PF3D7_1442400,1617,29
PF3D7_1442500,451,15
PF3D7_1442600,137,0
PF3D7_1442700,2139,34
PF3D7_1442800,253,12
PF3D7_1442900,1457,21
PF3D7_1443000,851,26
PF3D7_1443100,297,25
PF3D7_1443200,250,8
PF3D7_1443300,24,1
PF3D7_1443400,488,19
PF3D7_1443500,334,10
PF3D7_1443600,730,17
PF3D7_1443700,20,2
PF3D7_1443800,183,6
PF3D7_1443900,173,6
PF3D7_1444000,134,8
PF3D7_1444100,1101,5
PF3D7_1444200,30,2
PF3D7_1444300,47,5
PF3D7_1444400,279,11
PF3D7_1444500,756,25
PF3D7_1444600,58,4
PF3D7_1444700,70,2
PF3D7_1444800,57,5
PF3D7_1444900,91,2
PF3D7_1445000,180,9
PF3D7_1445100,786,33
PF3D7_1445200,510,17
PF3D7_1445300,305,14
PF3D7_1445400,383,17
PF3D7_1445500,84,3
PF3D7_1445600,409,21
PF3D7_1445700,76,4
PF3D7_1445800,502,18
PF3D7_1445900,39,1
PF3D7_1446000,5,1
PF3D7_1446100,517,19
PF3D7_1446200,124,6
PF3D7_1446300,617,17
PF3D7_1446400,147,4
PF3D7_1446500,1812,30
PF3D7_1446600,11,1
PF3D7_1446700,74,3
PF3D7_1446800,51,4
PF3D7_1446900,87,5
PF3D7_1447000,11,1
PF3D7_1447100,79,3
PF3D7_1447200,306,16
PF3D7_1447300,18,2
PF3D7_1447400,69,6
PF3D7_1447500,54,2
PF3D7_1447600,48,4
PF3D7_1447700,72,3
PF3D7_1447800,1144,14
PF3D7_1447900,383,20
PF3D7_1448000,616,25
PF3D7_1448100,85,3
PF3D7_1448200,635,24
PF3D7_1448300,1195,39
PF3D7_1448400,222,13
PF3D7_1448500,451,3
PF3D7_1448600,108,5
PF3D7_1448700,262,10
PF3D7_1448800,96,5
PF3D7_1448900,23,1
PF3D7_1449000,422,71
PF3D7_1449100,801,23
PF3D7_1449200,26,2
PF3D7_1449300,532,25
PF3D7_1449400,1714,38
PF3D7_1449500,410,16
PF3D7_1449600,323,16
PF3D7_1449700,1001,24
PF3D7_1449800,88,3
PF3D7_1449900,240,6
PF3D7_1450000,48,4
PF3D7_1450100,69,1
PF3D7_1450200,53,5
PF3D7_1450300,485,14
PF3D7_1450400,1514,47
PF3D7_1450500,1505,43
PF3D7_1450600,337,10
PF3D7_1450700,624,23
PF3D7_1450800,195,12
PF3D7_1450900,212,12
PF3D7_1451000,705,24
PF3D7_1451100,11,1
PF3D7_1451200,1133,25
PF3D7_1451300,70,2
PF3D7_1451400,920,32
PF3D7_1451500,72,4
PF3D7_1451600,324,7
PF3D7_1451700,6,1
PF3D7_1451800,92,6
PF3D7_1451900,583,19
PF3D7_1452000,858,34
PF3D7_1452100,79,2
PF3D7_1452200,225,7
PF3D7_1452300,132,6
PF3D7_1452400,459,12
PF3D7_1452500,114,5
PF3D7_1452600,2516,38
PF3D7_1452700,157,5
PF3D7_1452800,185,9
PF3D7_1452900,111,6
PF3D7_1453000,643,13
PF3D7_1453100,393,14
PF3D7_1453200,927,59
PF3D7_1453300,8,1
PF3D7_1453400,909,13
PF3D7_1453500,270,6
PF3D7_1453600,1394,32
PF3D7_1453700,31,2
PF3D7_1453800,301,19
PF3D7_1453900,919,20
PF3D7_1454000,277,5
PF3D7_1454100,47,2
PF3D7_1454200,601,19
PF3D7_1454300,496,14
PF3D7_1454400,320,18
PF3D7_1454500,40,4
PF3D7_1454600,54,2
PF3D7_1454700,77,3
PF3D7_1454800,60,3
PF3D7_1454900,29,4
PF3D7_1455000,26,1
PF3D7_1455100,21,2
PF3D7_1455200,29,2
PF3D7_1455300,799,39
PF3D7_1455400,42,11
PF3D7_1455500,415,11
PF3D7_1455600,623,21
PF3D7_1455700,435,18
PF3D7_1455800,408,9
PF3D7_1455900,114,7
PF3D7_1456000,593,18
PF3D7_1456100,223,8
PF3D7_1456200,354,12
PF3D7_1456300,216,6
PF3D7_1456400,1100,29
PF3D7_1456500,1315,25
PF3D7_1456600,80,2
PF3D7_1456700,100,2
PF3D7_1456800,128,5
PF3D7_1456900,59,3
PF3D7_1457000,64,3
PF3D7_1457100,687,19
PF3D7_1457200,19,2
PF3D7_1457300,241,12
PF3D7_1457400,2377,33
PF3D7_1457500,97,1
PF3D7_1457600,408,19
PF3D7_1457700,874,26
PF3D7_1457800,522,17
PF3D7_1457900,2321,28
PF3D7_1458000,502,21
PF3D7_1458100,21,1
PF3D7_1458200,73,4
PF3D7_1458300,919,25
PF3D7_1458400,238,17
PF3D7_1458500,1495,28
PF3D7_1458600,943,21
PF3D7_1458700,39,3
PF3D7_1458800,557,17
PF3D7_1458900,136,3
PF3D7_1459000,338,10
PF3D7_1459100,424,9
PF3D7_1459200,950,29
PF3D7_1459300,42,2
PF3D7_1459400,101,6
PF3D7_1459500,658,13
PF3D7_1459600,456,12
PF3D7_1459700,130,3
PF3D7_1459800,44,1
PF3D7_1459900,49,3
PF3D7_1460000,281,21
PF3D7_1460100,104,5
PF3D7_1460200,181,6
PF3D7_1460300,16,1
PF3D7_1460400,108,4
PF3D7_1460500,416,10
PF3D7_1460600,12,2
PF3D7_1460700,28,3
PF3D7_1460800,280,11
PF3D7_1460900,65,5
PF3D7_1461000,93,5
PF3D7_1461100,485,14
PF3D7_1461200,37,2
PF3D7_1461300,1,1
PF3D7_1461400,43,2
PF3D7_1461500,56,2
PF3D7_1461600,332,13
PF3D7_1461700,51,1
PF3D7_1461800,670,8
PF3D7_1461900,469,16
PF3D7_1462000,41,1
PF3D7_1462100,677,20
PF3D7_1462200,13,2
PF3D7_1462300,471,22
PF3D7_1462400,2764,27
PF3D7_1462500,336,11
PF3D7_1462600,126,7
PF3D7_1462700,53,2
PF3D7_1462800,24,2
PF3D7_1462900,733,22
PF3D7_1463000,28,3
PF3D7_1463200,42,1
PF3D7_1463300,122,5
PF3D7_1463400,191,7
PF3D7_1463500,37,3
PF3D7_1463600,34,3
PF3D7_1463700,102,1
PF3D7_1463800,20,1
PF3D7_1463900,438,18
PF3D7_1464000,403,9
PF3D7_1464100,592,19
PF3D7_1464200,152,6
PF3D7_1464300,630,17
PF3D7_1464400,59,2
PF3D7_1464500,2647,34
PF3D7_1464600,637,20
PF3D7_1464700,45,4
PF3D7_1464800,45,4
PF3D7_1464900,111,4
PF3D7_1465000,86,10
PF3D7_1465100,478,23
PF3D7_1465200,152,3
PF3D7_1465300,546,16
PF3D7_1465400,18,1
PF3D7_1465500,420,8
PF3D7_1465600,263,15
PF3D7_1465700,88,4
PF3D7_1465800,2522,42
PF3D7_1465900,6,1
PF3D7_1466000,99,2
PF3D7_1466100,173,6
PF3D7_1466200,1316,22
PF3D7_1466300,359,13
PF3D7_1466400,260,6
PF3D7_1466500,51,4
PF3D7_1466600,150,7
PF3D7_1466700,45,3
PF3D7_1466800,161,6
PF3D7_1466900,686,19
PF3D7_1467000,581,10
PF3D7_1467100,282,11
PF3D7_1467200,328,9
PF3D7_1467300,201,5
PF3D7_1467400,73,6
PF3D7_1467500,152,2
PF3D7_1467600,36,0
PF3D7_1467700,45,2
PF3D7_1467800,26,2
PF3D7_1467900,661,19
PF3D7_1468000,957,22
PF3D7_1468100,1136,28
PF3D7_1468200,169,7
PF3D7_1468300,95,4
PF3D7_1468400,719,22
PF3D7_1468500,15,3
PF3D7_1468600,1737,27
PF3D7_1468700,8,2
PF3D7_1468800,417,5
PF3D7_1468900,456,13
PF3D7_1469000,84,3
PF3D7_1469100,124,4
PF3D7_1469200,106,7
PF3D7_1469300,78,5
PF3D7_1469400,322,15
PF3D7_1469500,524,15
PF3D7_1469600,3426,35
PF3D7_1469700,77,4
PF3D7_1469800,162,14
PF3D7_1469900,419,20
PF3D7_1470000,36,3
PF3D7_1470100,1918,34
PF3D7_1470200,55,2
PF3D7_1470300,69,1
PF3D7_1470400,41,2
PF3D7_1470500,165,10
PF3D7_1470600,371,16
PF3D7_1470700,331,16
PF3D7_1470800,370,10
PF3D7_1470900,33,3
PF3D7_1470950,48,2
PF3D7_1471000,229,6
PF3D7_1471100,57,5
PF3D7_1471200,51,3
PF3D7_1471300,449,18
PF3D7_1471400,199,18
PF3D7_1471500,89,6
PF3D7_1471600,1345,36
PF3D7_1471700,451,18
PF3D7_1471800,159,9
PF3D7_1471900,1355,28
PF3D7_1472000,58,2
PF3D7_1472100,109,5
PF3D7_1472200,737,22
PF3D7_1472300,131,3
PF3D7_1472400,1390,35
PF3D7_1472500,61,2
PF3D7_1472600,361,10
PF3D7_1472700,323,19
PF3D7_1472800,174,3
